0	0
0.02	9.0827E-06
0.04	5.51941E-05
0.06	0.000143633
0.08	0.000271338
0.1	0.000437093
0.12	0.000642658
0.14	0.000888541
0.16	0.0011685
0.18	0.00147455
0.2	0.0017967
0.22	0.00213134
0.24	0.00248744
0.26	0.00287753
0.28	0.00330792
0.3	0.00376963
0.32	0.00424665
0.34	0.00471221
0.36	0.00513807
0.38	0.00550301
0.4	0.00581362
0.42	0.00609805
0.44	0.0063821
0.46	0.00666171
0.48	0.00688715
0.5	0.00700246
0.52	0.00697348
0.54	0.00685021
0.56	0.0066837
0.58	0.00650871
0.6	0.0063544
0.62	0.0062348
0.64	0.00615221
0.66	0.00608595
0.68	0.00600379
0.7	0.00590969
0.72	0.00580095
0.74	0.00566756
0.76	0.00547328
0.78	0.0051818
0.8	0.00476022
0.82	0.00419369
0.84	0.0034836
0.86	0.00260821
0.88	0.00153193
0.9	0.000248346
0.92	-0.00120952
0.94	-0.00279187
0.96	-0.00444108
0.98	-0.00612436
1	-0.00785813
1.02	-0.00967149
1.04	-0.011598
1.06	-0.0136559
1.08	-0.0158291
1.1	-0.0180474
1.12	-0.0202304
1.14	-0.0222827
1.16	-0.0241407
1.18	-0.0256553
1.2	-0.0266125
1.22	-0.0268956
1.24	-0.0265442
1.26	-0.0256577
1.28	-0.0243894
1.3	-0.0228833
1.32	-0.0212386
1.34	-0.0195004
1.36	-0.0176998
1.38	-0.0158992
1.4	-0.0142168
1.42	-0.0127931
1.44	-0.0117538
1.46	-0.0110861
1.48	-0.01068
1.5	-0.0104489
1.52	-0.0104006
1.54	-0.0106024
1.56	-0.0111067
1.58	-0.0119566
1.6	-0.0131584
1.62	-0.0146438
1.64	-0.0159981
1.66	-0.0165719
1.68	-0.0160186
1.7	-0.0142732
1.72	-0.0113882
1.74	-0.00756092
1.76	-0.00301442
1.78	0.00209995
1.8	0.00772224
1.82	0.0138481
1.84	0.0204015
1.86	0.0272119
1.88	0.0340568
1.9	0.04072
1.92	0.0470236
1.94	0.052816
1.96	0.0579261
1.98	0.0620944
2	0.0650038
2.02	0.0663334
2.04	0.0658534
2.06	0.0634275
2.08	0.0590051
2.1	0.052557
2.12	0.0440768
2.14	0.0336337
2.16	0.021586
2.18	0.00861142
2.2	-0.00392417
2.22	-0.0152388
2.24	-0.0252928
2.26	-0.0341964
2.28	-0.0423524
2.3	-0.0500625
2.32	-0.057452
2.34	-0.0644058
2.36	-0.0707854
2.38	-0.0765336
2.4	-0.0816928
2.42	-0.0862838
2.44	-0.0896594
2.46	-0.0907129
2.48	-0.0892991
2.5	-0.0855462
2.52	-0.0800788
2.54	-0.073681
2.56	-0.0669617
2.58	-0.0597195
2.6	-0.0513363
2.62	-0.0415613
2.64	-0.0303894
2.66	-0.0181313
2.68	-0.00517321
2.7	0.00829299
2.72	0.0222504
2.74	0.0366567
2.76	0.051168
2.78	0.0651165
2.8	0.0777993
2.82	0.0888852
2.84	0.0984841
2.86	0.106929
2.88	0.114377
2.9	0.120651
2.92	0.125427
2.94	0.128488
2.96	0.129898
2.98	0.129872
3	0.128525
3.02	0.125701
3.04	0.12125
3.06	0.114984
3.08	0.106839
3.1	0.0970459
3.12	0.0858122
3.14	0.0731696
3.16	0.0589904
3.18	0.0432328
3.2	0.026249
3.22	0.00893847
3.24	-0.00804052
3.26	-0.0244798
3.28	-0.0405162
3.3	-0.0565411
3.32	-0.0727195
3.34	-0.088803
3.36	-0.103589
3.38	-0.116456
3.4	-0.127423
3.42	-0.136712
3.44	-0.144611
3.46	-0.151008
3.48	-0.155009
3.5	-0.155932
3.52	-0.153667
3.54	-0.148492
3.56	-0.140995
3.58	-0.131689
3.6	-0.120808
3.62	-0.108311
3.64	-0.0941284
3.66	-0.0785948
3.68	-0.0621984
3.7	-0.0453614
3.72	-0.0282064
3.74	-0.0106796
3.76	0.00724693
3.78	0.0253547
3.8	0.0432648
3.82	0.0605594
3.84	0.0769537
3.86	0.0922643
3.88	0.106324
